note,Alban Berg,Alexander Scriabin,Anton Arensky,Antonio Soler,Carl Maria von Weber,Charles Gounod / Franz Liszt,Claude Debussy,César Franck,Domenico Scarlatti,Edvard Grieg,Felix Mendelssohn,Felix Mendelssohn / Sergei Rachmaninoff,Franz Liszt,Franz Liszt / Camille Saint-Saëns,Franz Liszt / Vladimir Horowitz,Franz Schubert,Franz Schubert / Franz Liszt,Franz Schubert / Leopold Godowsky,Fritz Kreisler / Sergei Rachmaninoff,Frédéric Chopin,George Enescu,George Frideric Handel,Georges Bizet / Ferruccio Busoni,Georges Bizet / Moritz Moszkowski,Georges Bizet / Vladimir Horowitz,Giuseppe Verdi / Franz Liszt,Henry Purcell,Isaac Albéniz,Isaac Albéniz / Leopold Godowsky,Jean-Philippe Rameau,Johann Christian Fischer / Wolfgang Amadeus Mozart,Johann Pachelbel,Johann Sebastian Bach,Johann Sebastian Bach / Egon Petri,Johann Sebastian Bach / Ferruccio Busoni,Johann Sebastian Bach / Franz Liszt,Johann Sebastian Bach / Myra Hess,Johann Strauss / Alfred Grünfeld,Johannes Brahms,Joseph Haydn,Leoš Janáček,Ludwig van Beethoven,Mikhail Glinka / Mily Balakirev,Mily Balakirev,Modest Mussorgsky,Muzio Clementi,Niccolò Paganini / Franz Liszt,Nikolai Medtner,Nikolai Rimsky-Korsakov / Sergei Rachmaninoff,Orlando Gibbons,Percy Grainger,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,Pyotr Ilyich Tchaikovsky / Sergei Rachmaninoff,Richard Wagner / Franz Liszt,Robert Schumann,Robert Schumann / Franz Liszt,Sergei Rachmaninoff,Sergei Rachmaninoff / György Cziffra,Sergei Rachmaninoff / Vyacheslav Gryaznov,Wolfgang Amadeus Mozart,All
F#5,93.0,2450,199.0,205.0,238.0,139.0,3472,474.0,1263.0,54.0,623.0,167.0,10625,171.0,271,7138.0,160.0,54.0,92.0,7965.0,582.0,206.0,153.0,119.0,82.0,101.0,19.0,564.0,30.0,21.0,62.0,,3879.0,12.0,325.0,86.0,12.0,148.0,3638.0,1961.0,211.0,6861.0,119.0,667.0,1306.0,563.0,21.0,480.0,20.0,3.0,35.0,326.0,867.0,47.0,210.0,4497.0,11.0,3335,58.0,73.0,3287.0,70850.0
F#6,32.0,427,71.0,6.0,37.0,148.0,1314,46.0,3.0,14.0,72.0,12.0,7101,215.0,164,1569.0,46.0,,46.0,1938.0,214.0,,31.0,41.0,52.0,150.0,,161.0,4.0,,,,10.0,,48.0,24.0,,106.0,1329.0,6.0,12.0,1303.0,37.0,454.0,314.0,,21.0,126.0,3.0,,26.0,52.0,428.0,10.0,77.0,768.0,3.0,618,14.0,13.0,,19716.0
F#7,1.0,16,9.0,,,22.0,79,1.0,,3.0,,,702,34.0,46,2.0,3.0,,2.0,5.0,17.0,,2.0,6.0,3.0,6.0,,4.0,,,,,1.0,,,2.0,,13.0,41.0,,,1.0,38.0,40.0,5.0,,,14.0,4.0,,9.0,1.0,44.0,2.0,,,,12,15.0,,,1205.0
F1,3.0,320,43.0,,66.0,8.0,232,55.0,,,64.0,2.0,1087,5.0,50,410.0,43.0,,3.0,519.0,2.0,,16.0,2.0,4.0,4.0,,6.0,,,,,11.0,,58.0,141.0,,4.0,873.0,85.0,2.0,1222.0,2.0,22.0,81.0,17.0,2.0,74.0,1.0,,2.0,10.0,9.0,,7.0,345.0,,459,,,49.0,6420.0
F2,37.0,809,146.0,8.0,97.0,22.0,558,170.0,125.0,,366.0,64.0,3812,39.0,114,4053.0,163.0,,41.0,3667.0,24.0,54.0,61.0,29.0,21.0,17.0,8.0,55.0,1.0,9.0,22.0,2.0,972.0,43.0,240.0,186.0,4.0,13.0,2554.0,401.0,72.0,6139.0,10.0,137.0,324.0,363.0,43.0,344.0,6.0,2.0,17.0,144.0,74.0,2.0,35.0,2879.0,2.0,1763,29.0,24.0,612.0,32028.0
F3,61.0,1802,391.0,9.0,258.0,83.0,2086,279.0,456.0,22.0,1306.0,192.0,7952,104.0,229,11223.0,536.0,8.0,112.0,8923.0,76.0,397.0,119.0,51.0,60.0,101.0,42.0,199.0,8.0,59.0,95.0,28.0,5572.0,229.0,644.0,211.0,5.0,113.0,4664.0,1825.0,352.0,12642.0,60.0,449.0,373.0,913.0,85.0,647.0,28.0,41.0,67.0,272.0,239.0,15.0,217.0,7851.0,22.0,4181,55.0,41.0,3274.0,82354.0
F4,98.0,3056,609.0,56.0,316.0,132.0,5661,509.0,1217.0,29.0,2110.0,455.0,11888,102.0,254,15296.0,1299.0,37.0,211.0,11417.0,140.0,531.0,156.0,86.0,37.0,173.0,31.0,665.0,23.0,43.0,122.0,49.0,7625.0,206.0,1000.0,389.0,10.0,174.0,6080.0,4249.0,336.0,14962.0,106.0,929.0,1080.0,1204.0,108.0,749.0,28.0,44.0,101.0,443.0,473.0,30.0,144.0,11925.0,44.0,5681,87.0,66.0,5098.0,120179.0
F5,72.0,1912,286.0,17.0,222.0,78.0,2920,167.0,1515.0,8.0,788.0,224.0,10531,66.0,241,9342.0,320.0,17.0,196.0,9407.0,89.0,377.0,140.0,79.0,67.0,128.0,92.0,498.0,8.0,73.0,377.0,24.0,5594.0,216.0,631.0,214.0,8.0,146.0,5321.0,3877.0,232.0,12008.0,165.0,444.0,794.0,1221.0,190.0,424.0,36.0,12.0,68.0,359.0,391.0,17.0,88.0,5962.0,37.0,4194,108.0,105.0,5596.0,88739.0
F6,23.0,578,85.0,,60.0,226.0,804,21.0,11.0,,117.0,31.0,6570,77.0,158,2107.0,192.0,,52.0,2845.0,23.0,,31.0,20.0,24.0,138.0,,161.0,,,4.0,,22.0,20.0,185.0,48.0,,117.0,2049.0,330.0,38.0,3535.0,65.0,249.0,250.0,190.0,89.0,112.0,15.0,,42.0,86.0,140.0,2.0,18.0,1306.0,13.0,943,33.0,20.0,290.0,24565.0
G#1,9.0,433,6.0,5.0,21.0,28.0,1123,106.0,,,50.0,,1829,25.0,116,1366.0,31.0,2.0,12.0,1394.0,15.0,,19.0,,5.0,35.0,,38.0,1.0,,,,40.0,,56.0,89.0,,29.0,550.0,49.0,13.0,2087.0,2.0,194.0,273.0,5.0,19.0,93.0,,,3.0,31.0,29.0,6.0,67.0,1043.0,7.0,394,,1.0,50.0,11799.0
G#2,19.0,1499,45.0,19.0,62.0,35.0,1360,187.0,46.0,,236.0,26.0,5267,43.0,211,4894.0,162.0,8.0,25.0,6528.0,52.0,7.0,98.0,15.0,25.0,83.0,,246.0,5.0,4.0,,,1463.0,,105.0,125.0,,110.0,2066.0,360.0,272.0,5247.0,5.0,508.0,1146.0,71.0,42.0,265.0,,,18.0,232.0,56.0,95.0,83.0,4205.0,42.0,1752,4.0,5.0,319.0,39803.0
G#3,81.0,2991,186.0,17.0,232.0,71.0,3093,427.0,409.0,6.0,747.0,91.0,11517,76.0,303,11944.0,618.0,25.0,69.0,14669.0,147.0,51.0,98.0,70.0,64.0,197.0,8.0,523.0,27.0,18.0,,28.0,4895.0,16.0,119.0,212.0,,150.0,4228.0,1635.0,695.0,11169.0,26.0,716.0,497.0,235.0,102.0,570.0,11.0,2.0,55.0,239.0,121.0,169.0,248.0,9550.0,166.0,3549,20.0,77.0,1352.0,89627.0
G#4,92.0,4228,208.0,151.0,179.0,94.0,5741,580.0,815.0,53.0,901.0,204.0,12647,71.0,329,12087.0,435.0,41.0,90.0,15672.0,274.0,76.0,119.0,127.0,120.0,166.0,,722.0,8.0,36.0,3.0,58.0,6031.0,12.0,138.0,286.0,7.0,156.0,4963.0,2301.0,462.0,11633.0,33.0,735.0,929.0,486.0,55.0,643.0,33.0,,82.0,202.0,136.0,250.0,237.0,10237.0,148.0,3905,53.0,44.0,1901.0,102425.0
G#5,79.0,2033,88.0,39.0,89.0,87.0,3272,162.0,522.0,18.0,334.0,55.0,11230,46.0,418,6772.0,160.0,13.0,101.0,8775.0,174.0,12.0,97.0,71.0,76.0,179.0,2.0,598.0,2.0,4.0,5.0,8.0,2113.0,8.0,130.0,137.0,1.0,195.0,3942.0,1920.0,294.0,8272.0,48.0,464.0,629.0,333.0,85.0,300.0,26.0,,66.0,172.0,148.0,77.0,288.0,4609.0,69.0,2482,56.0,108.0,1565.0,64058.0
G#6,21.0,411,90.0,,11.0,110.0,1141,18.0,,,20.0,4.0,6974,43.0,212,1135.0,49.0,,25.0,2004.0,42.0,,24.0,22.0,34.0,164.0,,156.0,,,,,14.0,,2.0,17.0,,129.0,1109.0,,21.0,1165.0,19.0,174.0,80.0,,35.0,85.0,5.0,,32.0,31.0,72.0,12.0,179.0,578.0,14.0,421,11.0,9.0,,16924.0
G1,5.0,230,52.0,4.0,30.0,19.0,725,72.0,31.0,,81.0,41.0,1137,68.0,24,1094.0,18.0,,37.0,810.0,13.0,15.0,22.0,1.0,8.0,5.0,1.0,19.0,,,,,41.0,,145.0,66.0,10.0,1.0,776.0,128.0,8.0,2330.0,,88.0,297.0,12.0,4.0,83.0,,,1.0,58.0,132.0,,23.0,963.0,,473,,,131.0,10332.0
G2,20.0,726,138.0,30.0,221.0,48.0,908,204.0,443.0,22.0,420.0,184.0,3336,151.0,49,5773.0,152.0,,92.0,4670.0,68.0,189.0,68.0,19.0,66.0,5.0,42.0,250.0,2.0,10.0,130.0,,2132.0,36.0,402.0,132.0,20.0,11.0,2509.0,749.0,178.0,9125.0,,67.0,602.0,134.0,28.0,370.0,,26.0,8.0,357.0,525.0,1.0,77.0,3888.0,3.0,1714,3.0,5.0,1223.0,42761.0
G3,99.0,1683,396.0,22.0,483.0,101.0,2479,544.0,1148.0,39.0,1402.0,528.0,7809,204.0,63,15547.0,712.0,5.0,162.0,9958.0,232.0,792.0,105.0,193.0,129.0,19.0,94.0,444.0,21.0,89.0,408.0,25.0,7590.0,188.0,905.0,162.0,28.0,65.0,4490.0,3632.0,188.0,18268.0,1.0,235.0,503.0,352.0,57.0,783.0,12.0,87.0,75.0,715.0,1341.0,26.0,108.0,9779.0,32.0,4541,20.0,48.0,4889.0,105055.0
G4,131.0,2551,430.0,62.0,434.0,146.0,4988,819.0,2334.0,85.0,1861.0,1040.0,9676,236.0,63,16170.0,730.0,5.0,187.0,11389.0,417.0,983.0,119.0,168.0,89.0,37.0,88.0,748.0,46.0,78.0,470.0,60.0,9543.0,151.0,1076.0,236.0,169.0,69.0,4792.0,5944.0,155.0,17043.0,2.0,528.0,1166.0,784.0,66.0,989.0,23.0,81.0,79.0,1028.0,2026.0,78.0,130.0,11179.0,37.0,5540,36.0,45.0,6718.0,126353.0
G5,66.0,1348,197.0,152.0,351.0,110.0,2361,295.0,1887.0,57.0,663.0,409.0,8509,185.0,60,9191.0,234.0,6.0,137.0,8092.0,266.0,589.0,76.0,115.0,94.0,39.0,140.0,481.0,9.0,27.0,449.0,16.0,4637.0,144.0,711.0,148.0,33.0,73.0,4349.0,5021.0,173.0,13537.0,3.0,313.0,548.0,735.0,80.0,472.0,16.0,11.0,55.0,603.0,1272.0,38.0,110.0,5155.0,23.0,3093,36.0,98.0,6387.0,84485.0
G6,11.0,252,43.0,,48.0,108.0,709,29.0,4.0,18.0,67.0,47.0,5082,174.0,42,1992.0,38.0,,46.0,2176.0,108.0,,15.0,28.0,35.0,41.0,,115.0,,,,,15.0,4.0,100.0,34.0,,38.0,1345.0,24.0,10.0,2019.0,2.0,187.0,154.0,8.0,39.0,120.0,4.0,,39.0,143.0,456.0,14.0,49.0,775.0,7.0,829,10.0,12.0,2.0,17667.0
A#0,,45,,,,,61,,,,,,31,3.0,44,,,,,7.0,2.0,,,,,,,,,,,,,,17.0,,,,36.0,,,2.0,,,,,,13.0,,,,6.0,,,,2.0,,228,,2.0,,499.0
A#7,,3,,,,,21,,,,,,9,,7,,,,,,,,,,,,,,,,,,,,3.0,1.0,,2.0,,,,,,,,,,,,,5.0,,,,,,,17,,,,68.0
A0,,10,,,,4.0,16,4.0,,,,,25,,34,2.0,,,,,2.0,,,,,,,,,,,,,,15.0,,,,7.0,,,,,,,,,14.0,,,2.0,,6.0,,,,,52,,,,193.0
A7,,13,,,,3.0,13,,,,,,118,7.0,9,2.0,,,3.0,,1.0,,1.0,,1.0,,,3.0,,,,,,,3.0,1.0,,1.0,30.0,,,,,4.0,,,,1.0,2.0,,7.0,,8.0,,,,,11,14.0,,,256.0
B0,,133,,,,,35,36.0,,,,,49,,7,,,,,3.0,12.0,,,,19.0,,,,,,,,,,9.0,,,,27.0,,,,,,,,,17.0,,,,,9.0,,40.0,4.0,,59,,,,459.0
B7,,7,,,,,4,,,,,,10,,3,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,4.0,,,,,1,,,,35.0
C#1,,178,2.0,,,,906,28.0,,,,,183,5.0,66,,,,1.0,193.0,8.0,,7.0,,,5.0,,3.0,,,,,3.0,,24.0,14.0,,3.0,103.0,,,5.0,,30.0,3.0,,,28.0,,,1.0,,10.0,,9.0,238.0,,235,,,,2291.0
C#7,,71,16.0,,4.0,66.0,422,9.0,,,13.0,,4945,49.0,197,336.0,21.0,,6.0,660.0,17.0,,4.0,7.0,14.0,79.0,,22.0,,,,,3.0,,9.0,12.0,,70.0,240.0,,4.0,36.0,14.0,92.0,9.0,,9.0,23.0,5.0,,17.0,3.0,93.0,2.0,62.0,120.0,6.0,119,7.0,5.0,,7918.0
C1,,88,3.0,,1.0,,144,15.0,,,,2.0,219,,8,3.0,,,14.0,116.0,5.0,,4.0,,6.0,,,2.0,,,,,1.0,,16.0,18.0,,,258.0,,,8.0,,9.0,6.0,,,41.0,,,3.0,,23.0,,4.0,215.0,,125,,,,1357.0
C8,,1,,,,,2,,,,,,2,,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1,,,,10.0
D#7,,68,,,,30.0,250,8.0,,3.0,2.0,2.0,3865,100.0,71,127.0,34.0,,1.0,529.0,19.0,,4.0,5.0,9.0,129.0,,12.0,,,,,5.0,,,3.0,,40.0,124.0,,3.0,15.0,50.0,35.0,53.0,2.0,3.0,31.0,4.0,,17.0,17.0,25.0,2.0,,70.0,2.0,62,4.0,16.0,,5851.0
D1,,83,12.0,,2.0,6.0,112,25.0,,,12.0,43.0,341,9.0,26,16.0,,,,139.0,19.0,2.0,20.0,1.0,1.0,,,5.0,2.0,,,,7.0,,92.0,15.0,3.0,,317.0,,6.0,17.0,,26.0,21.0,,,45.0,,,,3.0,26.0,,,129.0,,292,,1.0,,1876.0
E7,,32,28.0,,2.0,31.0,240,7.0,,,9.0,,2580,29.0,75,185.0,7.0,,8.0,368.0,9.0,,2.0,14.0,12.0,36.0,,7.0,,,,,5.0,,6.0,5.0,,17.0,314.0,,1.0,9.0,1.0,38.0,7.0,1.0,21.0,22.0,7.0,,10.0,2.0,136.0,3.0,,74.0,,41,17.0,,1.0,4419.0
F7,,37,15.0,,1.0,11.0,111,,,,6.0,1.0,1395,22.0,38,109.0,64.0,,1.0,286.0,1.0,,2.0,,4.0,52.0,,,,,,,3.0,,3.0,4.0,,30.0,132.0,,2.0,7.0,41.0,39.0,22.0,2.0,8.0,15.0,3.0,,9.0,12.0,12.0,,,107.0,1.0,41,9.0,2.0,1.0,2661.0
G#7,,25,,,,3.0,37,,,,,,202,2.0,17,1.0,,,,1.0,1.0,,,2.0,1.0,,,,,,,,2.0,,,1.0,,24.0,9.0,,1.0,,,10.0,2.0,,,5.0,3.0,,6.0,,3.0,4.0,,,,17,14.0,,,393.0
G7,,6,4.0,,,3.0,31,,,3.0,,3.0,582,32.0,12,3.0,4.0,,2.0,10.0,2.0,,,1.0,1.0,4.0,,1.0,,,,,1.0,,6.0,2.0,,8.0,26.0,,1.0,,,3.0,18.0,,,10.0,4.0,,6.0,50.0,46.0,2.0,,9.0,,23,3.0,2.0,,924.0
